Source,Target,Timestamp
martinusnussah,,Sun Jan 05 15:42:53 +0000 2025
araitanaisul,,Sun Jan 05 15:41:44 +0000 2025
hidarisio,,Sun Jan 05 15:41:26 +0000 2025
BolaSportcom,,Sun Jan 05 15:40:00 +0000 2025
tribunSUPERBALL,,Sun Jan 05 15:40:00 +0000 2025
agungsuyogaaa,agungsuyogaaa,Sun Jan 05 15:39:33 +0000 2025
Benidicvsy,,Sun Jan 05 15:37:59 +0000 2025
iqheshundarrii,,Sun Jan 05 15:37:00 +0000 2025
ardhanx805,,Sun Jan 05 15:34:51 +0000 2025
glowinthedark_x,,Sun Jan 05 15:33:34 +0000 2025
TeguhBinSabar,,Sun Jan 05 15:32:58 +0000 2025
gaalantis,,Sun Jan 05 15:31:27 +0000 2025
porblemathic,goatiecss,Sun Jan 05 15:30:23 +0000 2025
kontrahegemoni,,Sun Jan 05 15:23:05 +0000 2025
seojimkim04,,Sun Jan 05 15:22:37 +0000 2025
anggunagustinn,,Sun Jan 05 15:19:30 +0000 2025
agungsuyogaaa,,Sun Jan 05 15:19:23 +0000 2025
abimanbi,,Sun Jan 05 15:17:57 +0000 2025
_anggotadewan,,Sun Jan 05 15:14:39 +0000 2025
Naufal_arfn_09,Naufal_arfn_09,Sun Jan 05 15:14:31 +0000 2025
hidarisio,,Sun Jan 05 15:12:43 +0000 2025
hcjwoony,,Sun Jan 05 15:09:36 +0000 2025
yand1_,,Sun Jan 05 15:08:11 +0000 2025
purpleeaye,,Sun Jan 05 15:08:06 +0000 2025
on_tjoe,aingriwehuy,Sun Jan 05 15:07:55 +0000 2025
adamsprakoso,,Sun Jan 05 15:07:39 +0000 2025
Rfduaempat1,JhonSitorus_18,Sun Jan 05 15:07:32 +0000 2025
dngwijonarko,,Sun Jan 05 15:05:42 +0000 2025
prajwurit,,Sun Jan 05 15:05:03 +0000 2025
sweectz,punditgagal,Sun Jan 05 15:03:39 +0000 2025
jijirnyinyir,,Sun Jan 05 15:02:19 +0000 2025
herwandkputra,,Sun Jan 05 15:02:12 +0000 2025
abibelshirazy,,Sun Jan 05 15:01:59 +0000 2025
ace_4Cs,,Sun Jan 05 14:59:34 +0000 2025
Capitalisborju,,Sun Jan 05 14:50:38 +0000 2025
iakmaln,,Sun Jan 05 14:47:21 +0000 2025
DonnyPutraP,,Sun Jan 05 14:45:10 +0000 2025
fajaronline,,Sun Jan 05 14:41:33 +0000 2025
hidarisio,xOwlx7,Sun Jan 05 14:41:20 +0000 2025
farislabibbb,,Sun Jan 05 14:40:40 +0000 2025
kutamparr,,Sun Jan 05 14:38:31 +0000 2025
hidarisio,,Sun Jan 05 14:38:19 +0000 2025
JOINLampung,PakatDayak_,Sun Jan 05 14:36:06 +0000 2025
Trystanto2,,Sun Jan 05 14:29:54 +0000 2025
staryswhite,aingriwehuy,Sun Jan 05 14:29:01 +0000 2025
MasOjol_12,,Sun Jan 05 14:28:45 +0000 2025
GIBOLofficial,,Sun Jan 05 14:27:58 +0000 2025
staryswhite,aingriwehuy,Sun Jan 05 14:26:28 +0000 2025
d_hanifff,,Sun Jan 05 14:24:39 +0000 2025
OnefootballM,,Sun Jan 05 14:24:08 +0000 2025
istill_here_,,Sun Jan 05 14:22:15 +0000 2025
prajwurit,,Sun Jan 05 14:19:26 +0000 2025
nu_najk,,Sun Jan 05 14:13:40 +0000 2025
haeXjun,,Sun Jan 05 14:11:40 +0000 2025
Hasbiarfi,,Sun Jan 05 14:06:12 +0000 2025
garindrtm,,Sun Jan 05 14:03:42 +0000 2025
mzidaneariel,,Sun Jan 05 13:59:49 +0000 2025
bagusMad,,Sun Jan 05 13:59:09 +0000 2025
prajwurit,,Sun Jan 05 13:58:17 +0000 2025
IrwanRafliansy1,,Sun Jan 05 13:55:15 +0000 2025
SudionoTambun,Konsisten6966,Sun Jan 05 11:07:47 +0000 2025
SudionoTambun,sexy_killer404,Sun Jan 05 11:06:47 +0000 2025
SudionoTambun,_zahwareza,Sun Jan 05 11:06:28 +0000 2025
SudionoTambun,,Sun Jan 05 11:05:33 +0000 2025
SUmmat24,,Sun Jan 05 11:02:19 +0000 2025
fajaronline,,Sun Jan 05 10:51:35 +0000 2025
rahmawan_x,,Sun Jan 05 10:36:46 +0000 2025
AchyarDafa,UpdateBolabola,Sun Jan 05 10:32:49 +0000 2025
Yoonshinhome,,Sun Jan 05 10:23:42 +0000 2025
dyh251,,Sun Jan 05 10:15:16 +0000 2025
ipehdisini,,Sun Jan 05 10:06:42 +0000 2025
fvckingpersonn,,Sun Jan 05 10:04:53 +0000 2025
Setiadi_055,,Sun Jan 05 10:03:23 +0000 2025
prajwurit,,Sun Jan 05 10:03:04 +0000 2025
Parhobas273793,,Sun Jan 05 10:01:28 +0000 2025
fajaronline,,Sun Jan 05 09:46:27 +0000 2025
BudiStr2,,Sun Jan 05 09:34:51 +0000 2025
klaqliqkluq,,Sun Jan 05 09:28:03 +0000 2025
Arth_sihotang16,,Sun Jan 05 09:17:13 +0000 2025
sevagascu,gilabola_ina,Sun Jan 05 09:16:58 +0000 2025
literaluve,,Sun Jan 05 09:16:11 +0000 2025
diaryesterday,DndySaputra,Sun Jan 05 09:07:31 +0000 2025
Sutan360,,Sun Jan 05 09:05:59 +0000 2025
fatcatmoci,,Sun Jan 05 09:04:48 +0000 2025
Rixpher,,Sun Jan 05 09:03:24 +0000 2025
txtfromkimdoki,,Sun Jan 05 08:58:24 +0000 2025
bvtterfliess29,punditgagal,Sun Jan 05 08:56:53 +0000 2025
hashiromui,,Sun Jan 05 08:56:20 +0000 2025
wannabewithyuuu,diyasmovic,Sun Jan 05 08:46:53 +0000 2025
gimmehugplease,,Sun Jan 05 08:45:16 +0000 2025
persekutuanjawa,,Sun Jan 05 08:39:32 +0000 2025
saripud95008809,aingriwehuy,Sun Jan 05 08:37:04 +0000 2025
bvtterfliess29,altruismqt,Sun Jan 05 08:34:53 +0000 2025
WaroengMilan,bobatiramisyu,Sun Jan 05 08:00:47 +0000 2025
silaenfierza,,Sun Jan 05 07:59:45 +0000 2025
KhaqiqiFai94890,aingriwehuy,Sun Jan 05 07:58:50 +0000 2025
lost466270,,Sun Jan 05 07:54:28 +0000 2025
uknowonshik,unmagnetism,Sun Jan 05 07:53:42 +0000 2025
PakatDayak_,,Sun Jan 05 07:53:20 +0000 2025
nusapelagos,zahramaulidi2,Sun Jan 05 07:49:31 +0000 2025
pascalsianida,,Sun Jan 05 07:40:19 +0000 2025
radarmadiunweb,,Sun Jan 05 07:33:41 +0000 2025
rageagaintss,,Sun Jan 05 07:31:33 +0000 2025
nusapelagos,gilabola_ina,Sun Jan 05 07:25:36 +0000 2025
cahyaugustine,,Sun Jan 05 07:24:56 +0000 2025
kamaromponx,,Sun Jan 05 07:21:54 +0000 2025
yourfootballidn,,Sun Jan 05 07:19:26 +0000 2025
FranciskusAriel,,Sun Jan 05 07:18:46 +0000 2025
RKinashi,punditgagal,Sun Jan 05 07:11:59 +0000 2025
RKinashi,,Sun Jan 05 07:09:53 +0000 2025
ind4her4w4n,denismalhotra,Sun Jan 05 07:08:30 +0000 2025
pak_oke1,,Sun Jan 05 07:03:10 +0000 2025
wiyokooo,,Sun Jan 05 07:02:40 +0000 2025
LigaDagelan,,Sun Jan 05 07:02:18 +0000 2025
Winrr__,,Sun Jan 05 07:01:22 +0000 2025
ZAKKVOICE,,Sun Jan 05 06:58:29 +0000 2025
gektimbul,altruismqt,Sun Jan 05 06:53:48 +0000 2025
13hxnu,,Sun Jan 05 06:52:12 +0000 2025
yavcalling911,,Sun Jan 05 06:49:33 +0000 2025
cozyaltruis,,Sun Jan 05 06:44:09 +0000 2025
delvy_agung,,Sun Jan 05 06:42:20 +0000 2025
imanskj,,Sun Jan 05 06:40:22 +0000 2025
MasOjol_12,,Sun Jan 05 06:36:54 +0000 2025
Nkdf21,bucinconbek,Sun Jan 05 06:36:06 +0000 2025
rakbarrrrrrrr,,Sun Jan 05 06:32:45 +0000 2025
redaksisiapviva,,Sun Jan 05 06:30:28 +0000 2025
tb_siswadi,tb_siswadi,Sun Jan 05 06:25:23 +0000 2025
txtdommm,punditgagal,Sun Jan 05 06:21:28 +0000 2025
pmdskd_a14,Subhanallahkiky,Sun Jan 05 06:17:59 +0000 2025
95libraz,punditgagal,Sun Jan 05 06:17:30 +0000 2025
Boygeniusfan708,,Sun Jan 05 06:15:58 +0000 2025
argumen_id,,Sun Jan 05 06:15:22 +0000 2025
Subhanallahkiky,,Sun Jan 05 06:14:33 +0000 2025
eqyelroz,kompasiana,Sun Jan 05 06:14:30 +0000 2025
mhrm451,idextratime,Sun Jan 05 06:09:03 +0000 2025
DndySaputra,DndySaputra,Sun Jan 05 06:08:42 +0000 2025
Khaaaa______,,Sun Jan 05 06:07:52 +0000 2025
kompasiana,,Sun Jan 05 06:05:49 +0000 2025
radarmadiunweb,,Sun Jan 05 06:04:48 +0000 2025
xenonverse1,JhonSitorus_18,Sun Jan 05 06:03:12 +0000 2025
_tuda_,,Sun Jan 05 06:02:20 +0000 2025
tb_siswadi,,Sun Jan 05 05:59:44 +0000 2025
Naufalawwal99,,Sun Jan 05 05:58:54 +0000 2025
Roliandi,,Sun Jan 05 05:58:36 +0000 2025
aipkhh,,Sun Jan 05 05:58:07 +0000 2025
GendiOfficial28,monica_zero,Sun Jan 05 05:19:45 +0000 2025
DndySaputra,,Sun Jan 05 05:17:29 +0000 2025
briand_fergie,,Sun Jan 05 05:15:52 +0000 2025
yourfootballidn,,Sun Jan 05 05:08:25 +0000 2025
sukakeju2597,,Sun Jan 05 05:07:41 +0000 2025
skangwers,idextratime,Sun Jan 05 05:05:36 +0000 2025
rizky_maul_ana7,,Sun Jan 05 04:59:16 +0000 2025
argumen_id,,Sun Jan 05 04:35:27 +0000 2025
ply_gamingid,,Sun Jan 05 04:31:48 +0000 2025
argumen_id,,Sun Jan 05 04:31:17 +0000 2025
DndySaputra,,Sun Jan 05 04:18:04 +0000 2025
senjamalamhari9,idextratime,Sun Jan 05 04:17:11 +0000 2025
DndySaputra,aingriwehuy,Sun Jan 05 04:10:55 +0000 2025
jawapos,,Fri Jan 03 03:45:01 +0000 2025
Alh4fizism4il,Loyz321,Fri Jan 03 01:18:06 +0000 2025
rizky_maul_ana7,,Thu Jan 02 18:27:20 +0000 2025
azptt,Amaliasunny18,Thu Jan 02 13:46:25 +0000 2025
fajaronline,,Thu Jan 02 12:21:38 +0000 2025
parlay_jitu,,Thu Jan 02 12:15:58 +0000 2025
PendekarOpini,jakelubbly,Thu Jan 02 09:36:09 +0000 2025
uran0z,kdrama_menfess,Thu Jan 02 09:11:21 +0000 2025
Atuung95,punditgagal,Thu Jan 02 07:53:49 +0000 2025
IvanFu18,kdrama_menfess,Thu Jan 02 07:15:09 +0000 2025
jakefrmdawiic,Thll3_,Thu Jan 02 03:42:36 +0000 2025
didbigboy_,,Thu Jan 02 01:58:13 +0000 2025
